c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,6,2,0.635,54.1,9,5.1784,131.36,6858.3,93735,0.87293,0.2592,16.059,175.7,3.0716e+05,7.7918e+11,0.14058,0.16928,115.47,59.694,42.104,295.08,33.798,0.00012829,2.095e+05
3,6,3,0.702,27.9,9,3.4129,87.066,4485.6,63027,0.67795,0.19778,7.3859,86.487,1.3897e+05,3.5672e+11,0.094968,0.12561,97.022,46.474,29.087,227.88,18.242,9.7165e-05,1.1453e+05
3,6,4,0.829,31.5,9,2.0538,53.844,2678.2,35625,0.51263,0.1431,2.3686,41.51,43669,1.3665e+11,0.057113,0.073077,80.904,34.757,18.49,163.56,7.9569,8.0156e-05,49714
3,6,5,0.999,19.2,9,1.3467,36.733,1736.4,20551,0.43343,0.12057,0.93538,21.422,16734,5.9354e+10,0.038968,0.051489,73.769,29.622,13.65,134.82,3.5704,7.265e-05,26368
3,6,6,1.16,2.46,9,0.97643,26.384,1281.4,14995,0.37159,0.10366,0.49848,12.677,9034.3,3.6338e+10,0.031197,0.042251,64.302,25.474,11.181,120.06,2.1433,6.0463e-05,17066
3,6,7,1.29,6.16,9,0.78197,20.367,1027.1,13945,0.33775,0.096504,0.31981,8.449,5846.5,3.0173e+10,0.026736,0.039918,60.076,23.78,10.105,109.18,1.5475,5.44e-05,11832
3,7,2,0.541,122,9,8.2688,205.24,11066,1.4382e+05,1.2074,0.34902,37.21,369.98,7.3675e+05,1.5818e+12,0.22799,0.24796,141.36,80.521,64.024,407.53,61.338,0.0001682,4.234e+05
3,7,3,0.667,54.4,9,4.0955,99.702,5363,69168,0.75607,0.22973,10.361,105.39,1.9647e+05,4.591e+11,0.11223,0.1422,106.83,52.794,34.054,259.1,22.816,0.000107,1.5283e+05
3,7,4,0.87,37,9,1.6577,46.666,2173.3,29551,0.42589,0.12912,1.8398,33.586,34899,1.0732e+11,0.046089,0.063046,73.069,31.181,15.979,141.35,6.0448,6.2508e-05,42237
3,7,5,1.05,7.63,9,1.0189,29.309,1335.1,17038,0.35879,0.10083,0.64752,15.162,11999,4.3377e+10,0.031238,0.044106,64.232,25.575,11.225,117.6,2.5104,5.7267e-05,19541
3,7,6,1.23,27.5,9,0.7644,21.523,988.85,12119,0.3164,0.0887,0.34488,9.9185,6382,2.5548e+10,0.025721,0.036704,57.704,22.594,9.4176,99.75,1.4153,5.1988e-05,12766
