c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumumber
2,8,6,1.14,24.1,8,0.48171,7.8838,611.87,6460.2,0.29282,0.084652,28.09
3,1,2,0.611,65.8,8,5.5391,104.1,7057.8,83723,1.0137,0.3242,81.922
3,1,3,0.702,54.4,8,3.3779,67.209,4303.1,50582,0.71679,0.22843,59.804
3,1,4,0.842,33.3,8,2.0252,41.874,2574.4,28657,0.50637,0.16255,44.448
3,1,5,1.04,31.5,8,1.1213,24.822,1423.6,17244,0.37783,0.11312,34.699
3,1,6,1.19,26.1,8,0.8219,17.265,1038.3,12245,0.32322,0.097442,30.243
3,1,7,1.43,2.6,8,0.55454,11.599,697.66,9009.1,0.26926,0.090378,27.882
3,2,2,0.574,174,8,6.6971,132.96,8629.3,96972,1.1678,0.35416,90.034
3,2,3,0.65,121,8,4.3566,81.551,5581.2,62053,0.8517,0.2677,67.769
3,2,4,0.848,59.5,8,2.2896,42.188,2914.6,31993,0.573,0.17884,47.37
3,2,5,0.991,70.8,8,1.4142,27.351,1796.5,19990,0.45567,0.13686,39.284
3,2,6,1.17,42.5,8,0.90806,17.491,1145.9,12885,0.36632,0.10678,32.341
3,2,7,1.38,29.7,8,0.63537,13.232,811.27,10569,0.30699,0.094929,29.37
3,3,2,0.577,147,8,6.5331,80.863,8460.9,1.0017e+05,1.3865,0.35039,85.54
3,3,3,0.69,67.6,8,4.2904,50.86,5528.9,63056,1.087,0.28116,68.648
3,3,4,0.876,29.8,8,2.2495,28.697,2883,31617,0.74812,0.19478,50.045
3,3,5,1.07,38.6,8,1.222,16.257,1558,18467,0.55552,0.13477,37.431
3,3,6,1.25,5.01,8,0.83199,10.899,1063.7,12672,0.48251,0.11465,33.469
3,3,7,1.43,3.8,8,0.67176,9.2652,862.04,10291,0.4658,0.11198,33.145
3,4,2,0.629,28.4,8,5.2761,89.03,6773.4,73252,1.0283,0.31984,79.334
3,4,3,0.69,20.1,8,4.2417,72.482,5425.7,55047,0.9053,0.28745,72.12
3,4,4,0.864,4.21,8,2.0097,38.66,2554.8,27867,0.52908,0.16781,45.276
3,4,5,1.07,-1.15,8,1.1529,22.636,1458.1,16898,0.40062,0.11818,35.075
3,4,6,1.32,17.8,8,0.67109,13.267,852.59,10862,0.33533,0.099352,30.961
3,4,7,1.48,12.8,8,0.52919,10.555,669.35,7983.7,0.28325,0.086344,27.433
3,5,2,0.586,180,8,7.0427,100.14,9098.7,1.0944e+05,1.3452,0.36729,89.96
3,5,3,0.693,97.9,8,4.3468,61.68,5586.2,66527,0.97123,0.27812,68.838
3,5,4,0.895,72.5,8,1.9435,29.835,2472.4,27296,0.58776,0.16815,44.531
3,5,5,1.08,49,8,1.2996,19.724,1647.9,17170,0.50732,0.13493,38.668
3,5,6,1.25,57,8,0.77825,12.564,995.34,11789,0.38763,0.10847,32.07
3,5,7,1.46,54.1,8,0.57726,9.394,732.86,8653.1,0.34548,0.096926,29.44
3,6,2,0.635,54.1,8,5.6456,88.594,7256.3,80619,1.1326,0.33238,83.238
3,6,3,0.702,27.9,8,3.8562,65.027,4951.8,55494,0.83994,0.25308,64.544
3,6,4,0.829,31.5,8,2.3094,40.943,2945.4,32668,0.63068,0.18284,49.296
3,6,5,0.999,19.2,8,1.4222,25.65,1804.1,19596,0.51193,0.1462,42.227
3,6,6,1.16,2.46,8,0.98701,17.866,1261.9,13981,0.43525,0.11855,36.02
3,6,7,1.29,6.16,8,0.80143,14.59,1018.3,12538,0.39721,0.10908,33.745
3,7,2,0.541,122,8,8.1313,126.75,10512,1.1682e+05,1.4889,0.41036,102.95
3,7,3,0.667,54.4,8,4.5703,71.366,5872.5,62193,1.006,0.29304,73.813
3,7,4,0.87,37,8,1.9674,32.695,2511.4,26779,0.5577,0.16498,44.377
3,7,5,1.05,7.63,8,1.1384,20.679,1446.6,16238,0.43805,0.12242,35.904
3,7,6,1.23,27.5,8,0.81458,14.334,1035,11851,0.38644,0.10589,32.258
3,7,7,1.41,4.67,8,0.59885,10.942,762.34,8460,0.33991,0.09699,30.214
3,8,2,0.584,123,8,5.7753,105.96,7454.6,74920,1.0546,0.31694,80.176
3,8,3,0.661,79.9,8,4.3055,76.25,5544.5,62711,0.89651,0.27376,68.85
3,8,4,0.831,35.1,8,2.2219,40.277,2840.9,30476,0.60408,0.18788,50.108
3,8,5,0.982,47.2,8,1.5345,27.01,1950.1,18854,0.50732,0.14874,41.712
3,8,6,1.15,12.8,8,1.1,19.866,1398.2,13982,0.46607,0.12844,38.323
3,8,7,1.27,38.6,8,0.81763,15.424,1039.2,11278,0.39687,0.11117,34.296
4,1,2,0.628,94.8,8,6.7966,138.2,8669.7,90901,1.0305,0.31519,78.727
4,1,3,0.73,53.9,8,4.8479,95.993,6169.8,65655,0.80949,0.25315,63.89
4,1,4,0.894,21,8,2.7694,59.211,3505.2,40912,0.58966,0.17799,48.035
4,1,5,1.03,28.5,8,1.8418,40.821,2330.2,26217,0.50047,0.1448,41.559
4,1,6,1.2,9.57,8,1.2497,27.923,1579.1,19412,0.415,0.11494,34.641
4,1,7,1.38,6.3,8,0.97119,22.168,1228,15667,0.3721,0.10166,31.943
4,2,2,0.562,295,8,11.252,203.76,14451,1.77e+05,1.5645,0.42443,108.49
4,2,3,0.637,146,8,7.2282,136.76,9259.9,1.1107e+05,1.1074,0.3201,80.109
4,2,4,0.831,91.4,8,3.6456,71.289,4640.3,46389,0.72612,0.21866,55.445
4,2,5,0.951,95.2,8,2.5127,48.015,3185.9,34740,0.57121,0.17437,45.986
