c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
2,6,6,1.16,5.6,8,0.49269,10.335,632.43,7943.6,0.17303,0.044782,0.18893,2.152,3327.5,1.0989e+10,0.013432,0.01343,23.848,9.6804,5.3664,64.408,1.4615,2.5826e-05,6483.6
2,7,1,0.499,164,8,2.6641,55.63,3477.4,43118,0.41122,0.14124,5.4075,25.428,98234,1.3379e+11,0.063792,0.098191,40.006,27.61,26.68,149,22.582,5.2455e-05,81344
2,7,2,0.525,133,8,2.5333,52.524,3304.7,38477,0.41589,0.1414,4.5464,22.873,82142,1.1385e+11,0.061316,0.092174,41.012,27.131,25.54,152.3,20.07,5.291e-05,71280
2,7,3,0.639,71.1,8,1.7118,34.405,2214.7,27856,0.33124,0.10838,2.177,12.266,39167,7.0763e+10,0.042464,0.0607,34.387,20.324,17.154,123.43,10.494,4.3291e-05,41192
2,7,4,0.84,35.1,8,0.98451,20.072,1265.5,14957,0.24911,0.074626,0.73534,5.4829,13132,2.839e+10,0.025623,0.032824,28.898,14.264,10.175,93.406,4.118,3.4741e-05,18487
2,7,5,1.03,36.7,8,0.60913,12.427,781.05,10178,0.18911,0.052297,0.3031,2.7483,5433.8,1.5605e+10,0.016514,0.018524,24.152,10.598,6.5267,70.433,1.992,2.7221e-05,9674.8
2,7,6,1.2,33.5,8,0.45566,9.3956,584.93,7539.3,0.16918,0.043135,0.15926,1.7936,2849.4,9.7943e+09,0.01288,0.0125,23.298,9.4094,5.0909,62.912,1.2811,2.4977e-05,6030.3
2,8,1,0.536,173,8,2.3658,52.116,3086.3,38976,0.39004,0.13544,4.089,23.34,72653,1.1364e+11,0.056038,0.086803,39.99,25.83,24.397,142.6,19.206,5.1192e-05,63772
2,8,2,0.568,127,8,2.1196,45.982,2757.6,32003,0.36801,0.1265,3.2957,19.32,58620,8.6109e+10,0.050614,0.077444,38.057,23.735,21.834,136.26,15.812,4.8094e-05,54694
2,8,3,0.671,64,8,1.5965,34.367,2066.1,25841,0.31809,0.10517,1.8636,12.431,32926,6.1605e+10,0.038882,0.056744,34.553,19.622,16.46,118.75,9.8527,4.2436e-05,35496
2,8,4,0.833,40.2,8,0.96765,20.88,1242.4,15214,0.24187,0.073696,0.71156,5.873,12593,2.7855e+10,0.024343,0.032226,29.001,14.057,10.101,90.7,4.1821,3.4186e-05,17820
