c,subj,speed,movedur,mpowernet,minfunc,sumtorque,sumtorquerate,sumwork,sumworkrate,sumforceout,sumforcemus,sumstress,sumactstate,sumdrive,sumtorque2,sumtorquerate2,sumwork2,sumworkrate2,sumforceout2,sumforcemus2,sumstress2,sumactstate2,sumdrive2,sumumber,sumbhar,sumuch,sumlich,summarg,summine,sumhoud
3,7,5,1.05,7.63,5,0.96901,10.202,0.31224,1.8591,28.182,1323.4,18979,0.25253,0.079668,0.99657,53.784,0.066433,2.4145,14.041,19158,5.7299e+10,0.026017,0.039855,26.396,13.855,9.8359,97.609,3.7909,3.2584e-05,21951
3,7,6,1.23,27.5,5,0.69349,7.6374,0.17953,1.0832,20.713,936.05,13284,0.20473,0.068893,0.55271,35.464,0.023087,0.92032,9.2446,10691,3.2655e+10,0.01833,0.034877,24.228,12.138,8.0692,79.499,2.1506,2.8013e-05,13928
3,7,7,1.41,4.67,5,0.53503,6.3275,0.11804,0.77728,14.926,723.61,9818.7,0.18636,0.066306,0.33352,24.242,0.0091535,0.49306,5.5576,6342,2.1105e+10,0.015584,0.033102,23.941,11.668,7.3836,67.775,1.4049,2.6583e-05,9251.4
3,8,2,0.584,123,5,4.8082,60.203,4.0249,33.441,129.49,6684.2,94761,0.55735,0.18268,18.424,1385.5,10.678,714.48,151.51,3.5928e+05,7.7245e+11,0.10722,0.14319,46.748,36.334,40.202,201.86,46.534,6.8328e-05,2.0844e+05
3,8,3,0.661,79.9,5,3.6643,42.794,2.778,20.854,95.605,5074.9,79730,0.47497,0.15722,11.481,741.7,5.2851,290.36,99.183,2.2094e+05,5.8422e+11,0.082748,0.11438,40.151,29.295,30.728,167.23,30.659,6.5209e-05,1.4142e+05
3,8,4,0.831,35.1,5,1.9446,18.651,0.98062,5.5226,51.382,2658.4,41071,0.34929,0.10761,3.3212,156.2,0.61097,19.424,36.58,62085,2.0226e+11,0.046299,0.061829,31.431,18.75,16.379,122,11.148,4.9112e-05,53777
3,8,5,0.982,47.2,5,1.2918,12.187,0.52168,2.7205,36.422,1746.9,24806,0.27679,0.08394,1.6102,74.865,0.17701,5.1173,21.721,30234,9.4279e+10,0.031081,0.045597,26.971,14.665,11.512,108.73,5.8215,3.7588e-05,31026
3,8,6,1.15,12.8,5,0.88791,8.9415,0.26674,1.4911,24.887,1196.1,15667,0.23371,0.073532,0.80376,43.946,0.048114,1.6246,11.699,15152,4.3229e+10,0.022197,0.037549,25.933,13.072,9.1297,92.585,3.174,3.2128e-05,18361
3,8,7,1.27,38.6,5,0.66883,7.1023,0.17441,1.0166,20.366,911.83,12288,0.20345,0.068588,0.49622,30.414,0.022964,0.843,8.238,9424.5,2.8633e+10,0.017599,0.034676,24.826,12.285,8.0767,80.087,2.1869,2.7871e-05,12488
4,1,2,0.628,94.8,5,5.5028,66.904,4.4408,34.67,168.3,7480.5,1.1262e+05,0.5461,0.17371,27.995,1989.3,14.539,889.82,308.54,5.1473e+05,1.2277e+12,0.11928,0.13571,46.05,35.863,41.479,200.32,53.667,6.4618e-05,2.5659e+05
4,1,3,0.73,53.9,5,4.0957,43.102,2.9318,19.703,124.03,5564.2,88607,0.47757,0.14623,15.45,845.73,6.2255,277.91,197.5,2.8479e+05,8.5444e+11,0.092533,0.099239,39.269,28.005,29.731,178.61,33.133,5.5778e-05,1.6386e+05
4,1,4,0.894,21,5,2.4296,23.239,1.2325,6.6659,75.885,3287,52034,0.3712,0.10797,5.4556,252.23,1.0075,30.59,89.193,1.0003e+05,3.526e+11,0.057236,0.065413,31.487,19.165,17.349,146.13,13.883,4.5407e-05,74518
4,1,5,1.03,28.5,5,1.5896,15.821,0.61875,3.3027,56.461,2117.9,31090,0.29821,0.090633,2.5087,130.37,0.2473,7.3227,56.351,45144,1.5108e+11,0.038614,0.049524,28.603,15.533,12.284,116.49,6.7703,4.0281e-05,40918
4,1,6,1.2,9.57,5,1.0902,10.619,0.34484,1.7891,34.832,1437.7,21902,0.23921,0.070297,1.2941,73.741,0.081523,2.8146,26.369,23726,8.6619e+10,0.026907,0.037332,24.658,12.435,8.9957,97.531,3.8152,3.165e-05,24987
4,1,7,1.38,6.3,5,0.86956,8.8183,0.24356,1.2583,29.014,1141.6,17506,0.213,0.066696,0.84025,53.218,0.039163,1.3959,19.396,15415,5.9618e+10,0.022016,0.0343,24.225,11.821,7.9138,80.545,2.594,2.9075e-05,17199
4,2,2,0.562,295,5,9.5097,120.7,9.9768,86.471,316.27,13126,2.1801e+05,0.76959,0.21499,75.452,5908.2,68.801,5229.3,903.79,1.4566e+06,3.6952e+12,0.20337,0.18801,62.084,53.654,68.759,270.12,106.97,9.3138e-05,5.7547e+05
4,2,3,0.637,146,5,6.1055,73.543,4.9803,39.412,171.68,8381.1,1.3488e+05,0.58873,0.1791,33.282,2294.3,18.447,1146.7,313.64,6.3753e+05,1.6551e+12,0.13164,0.1449,46.676,36.98,43.717,210.82,56.773,7.4422e-05,3.0811e+05
4,2,4,0.831,91.4,5,3.1844,30.417,1.7367,9.7474,93.896,4295.8,60973,0.43447,0.12659,8.6625,434.71,1.8527,64.411,118.11,1.6194e+05,4.8519e+11,0.070776,0.079548,35.387,22.597,21.711,161.86,19.341,5.7873e-05,1.0979e+05
4,2,5,0.951,95.2,5,2.2361,21.959,0.97417,5.3865,62.627,2972.3,46537,0.34614,0.10235,5.0148,271.53,0.6369,23.44,62.695,93501,3.1147e+11,0.04979,0.061241,29.84,17.609,15.456,134.02,10.888,4.6146e-05,71422
4,2,6,1.23,24.4,5,1.0451,10.961,0.30386,1.7444,32.516,1393.8,22145,0.2321,0.073519,1.295,78.95,0.067074,2.6764,22.819,24020,8.7586e+10,0.025485,0.039996,24.591,12.656,9.104,83.01,3.5853,3.4086e-05,24102
4,2,7,1.37,46.8,5,0.8582,9.6212,0.21151,1.265,27.109,1142.7,16447,0.21462,0.069935,0.91483,62.663,0.031976,1.399,17.327,16953,5.7155e+10,0.021886,0.037067,24.266,12.055,8.1842,78.284,2.4459,3.1983e-05,18094
4,3,2,0.612,119,5,7.8043,100.3,5.503,47.4,150.32,10954,1.6233e+05,0.81423,0.20971,49.211,3834,19.538,1407.1,221.48,1.098e+06,2.2431e+12,0.2409,0.18205,53.489,45.656,49.879,300.77,65.931,8.5129e-05,5.1971e+05
4,3,3,0.679,70.4,5,5.6901,65.717,3.5705,27.116,106.95,7980.6,1.1049e+05,0.68029,0.18132,27.485,1772.2,8.4745,478.1,130.73,6.1866e+05,1.317e+12,0.18284,0.14635,44.071,35.964,36.245,252.93,39.507,7.1578e-05,3.3958e+05
4,3,4,0.871,64.6,5,3.1233,30.347,1.3625,7.8667,61.187,4332.9,60906,0.47414,0.13116,8.3077,441.72,1.1329,43.835,53.072,1.8373e+05,5.0556e+11,0.092418,0.083443,34.828,23.253,20.28,169.83,15.512,5.3347e-05,1.3608e+05
4,3,5,1.06,40.8,5,1.7678,17.883,0.55329,3.1385,38.848,2469.7,37742,0.34899,0.098984,3.0861,174.93,0.20687,7.8897,26.462,67614,2.2286e+11,0.053172,0.058233,28.664,17.184,13.063,136.27,6.5925,3.9956e-05,62403
4,3,6,1.25,21.8,5,1.1921,12.392,0.28866,1.6521,27.543,1657,22177,0.28664,0.083902,1.5287,95,0.05796,2.3254,15.765,33552,9.5677e+10,0.036773,0.046865,26.463,14.574,10.045,113.59,3.428,3.3756e-05,36040
